品番,商品名_JA,catalog_pages,catalog_info,catalog_usage,catalog_features,catalog_size_material,catalog_evidence,issue_flags
0516,スポーツバンドセット,カタログP.100,スポーツバンドセット / 眼鏡固定 / ズレ落ちを防ぎやすい / スポーツ時や動きの多い場面でメガネを固定するバンドです。ズレ落ちを防ぎやすく、ワンタッチで着脱しやすいので店頭販売にも説明しやすい商品です。 / 240N5175 240N5175 240N431 240N431 240N431 240N431 240N431 Sports Band No.0516·R0516 スポーツバンド ワンタッチで着脱できるスポーツバンド クリーナー サイズ：最短 220㎜〜最長 280㎜ 幅 10㎜ くもり 止 め 着脱の時に便利な ワンタッチ機能付き。 クロス 眼鏡バンド... / サイズ：最短 220㎜〜最長 280㎜ 幅 10㎜ くもり 止 め 着脱の時に便利な ワンタッチ機能付き / クロス 眼鏡バンド・ フレー ム ・ケース コーティング 液 ル ー ペ / 本入 No.1015-S·M メガネパッケージケース 1本 小売価格 ￥760（税込） 品 番 No.0516 No.R0516,眼鏡固定,ズレ落ちを防ぎやすい / スポーツ時や動きの多い場面でメガネを固定するバンドです。ズレ落ちを防ぎやすく、ワンタッチで着脱しやすいので店頭販売にも説明しやすい商品です。 / 240N5175 240N5175 240N431 240N431 240N431 240N431 240N431 Sports Band No.0516·R0516 スポーツバンド ワンタッチで着脱できるスポーツバンド クリーナー サイズ：最短 220㎜〜最長 280㎜ 幅 10㎜ くもり 止 め 着脱の時に便利な ワンタッチ機能付き。 クロス 眼鏡バンド...,サイズ：最短 220㎜〜最長 280㎜ 幅 10㎜ くもり 止 め 着脱の時に便利な ワンタッチ機能付き / クロス 眼鏡バンド・ フレー ム ・ケース コーティング 液 ル ー ペ / 本入 No.1015-S·M メガネパッケージケース 1本 小売価格 ￥760（税込） 品 番 No.0516 No.R0516,カタログ参照=カタログP.100 ; PDF抽出メモ=240N5175 240N5175 240N431 240N431 240N431 240N431 240N431 Sports Band No.0516·R0516 スポーツバンド ワンタッチで着脱できるスポーツバンド クリーナー サイズ：最短 220㎜〜最長 280㎜ 幅 10㎜ くもり 止 め 着脱の時に便利な ワンタッチ機能付き。 クロス 眼鏡バンド・ フレー ム ・ケース コーティング 液 ル ー ペ || コーティング 液 ル ー ペ 簡易老眼鏡 クラッチグラス (眼 瞼 下 垂 サ ポ ート) No....,pack_quantity_corrected_from_printed_catalog|printed_pages_normalized
0745-00,塩ビワッシャ 1.2×2.3×0.4,"カタログP.51,159",塩ビワッシャ 1.2×2.3×0.4 / 固定補助 / 部品の当たりをやわらげやすい / 固定補助に使う商品です。部品の当たりやガタつきを抑え、フレームの動きや仕上がりを安定させやすくします。 / No.141-170 No.141-740 加 エッシェン バッハ No.0745-00 No.141-633 No.141-594 No.141-595 16ヶ No.141-539 No.141-540 No.141-632 お徳用あります 16ヶ || 全長 プラスチック対応 ワッシャ 金属ワッシャ 2.3φ 1.2φ 115㎜ No.0745-00... / 入数: 25ヶ / 全長 プラスチック対応 ワッシャ 金属ワッシャ 2.3φ 1.2φ 115㎜ No.0745-00 ♯ 539、♯ 540 ♯ 632、♯ 633 軸径 先端 N / φ 1.2φ 115㎜ No.6022 3.0φ 1.4φ 115㎜ ♯ 163、♯ 615 ♯ 170、♯ 189 No.6024 / φ 1.4φ 115㎜ ♯ 190、♯ 593 ♯ 170、♯ 189 No.6021 3.5φ 1.2φ 115㎜ No.0745-00 ♯ 594 No.60 / φ 1.4φ 115㎜ ♯ 163、♯ 190 ♯ 170、♯ 189 ♯ 593、♯ 615 ♯ 171 No.6025 ♯ 165、♯ 316 ♯ 170、♯,固定補助,部品の当たりをやわらげやすい / 固定補助に使う商品です。部品の当たりやガタつきを抑え、フレームの動きや仕上がりを安定させやすくします。 / No.141-170 No.141-740 加 エッシェン バッハ No.0745-00 No.141-633 No.141-594 No.141-595 16ヶ No.141-539 No.141-540 No.141-632 お徳用あります 16ヶ || 全長 プラスチック対応 ワッシャ 金属ワッシャ 2.3φ 1.2φ 115㎜ No.0745-00...,入数: 25ヶ / 全長 プラスチック対応 ワッシャ 金属ワッシャ 2.3φ 1.2φ 115㎜ No.0745-00 ♯ 539、♯ 540 ♯ 632、♯ 633 軸径 先端 N / φ 1.2φ 115㎜ No.6022 3.0φ 1.4φ 115㎜ ♯ 163、♯ 615 ♯ 170、♯ 189 No.6024 / φ 1.4φ 115㎜ ♯ 190、♯ 593 ♯ 170、♯ 189 No.6021 3.5φ 1.2φ 115㎜ No.0745-00 ♯ 594 No.60 / φ 1.4φ 115㎜ ♯ 163、♯ 190 ♯ 170、♯ 189 ♯ 593、♯ 615 ♯ 171 No.6025 ♯ 165、♯ 316 ♯ 170、♯,"カタログ参照=カタログP.51,159 ; PDF抽出メモ=No.141-170 No.141-740 加 エッシェン バッハ No.0745-00 No.141-633 No.141-594 No.141-595 16ヶ No.141-539 No.141-540 No.141-632 お徳用あります 16ヶ || 全長 プラスチック対応 ワッシャ 金属ワッシャ 2.3φ 1.2φ 115㎜ No.0745-00 ♯ 539、♯ 540 ♯ 632、♯ 633 軸径 先端 N コード No.6020 3.0φ 1.2φ 115㎜ No.6022 3.0φ 1.4φ 115... ; 画像=0745-00_1.jpg",printed_pages_normalized
0745-00T,塩ビワッシャ 1.2×2.3×0.4(150本入),,塩ビワッシャ 1.2×2.3×0.4(150本入) / 固定補助 / 部品の当たりをやわらげやすい / 固定補助に使う商品です。部品の当たりやガタつきを抑え、フレームの動きや仕上がりを安定させやすくします。 / 入数: 150本,固定補助,部品の当たりをやわらげやすい / 固定補助に使う商品です。部品の当たりやガタつきを抑え、フレームの動きや仕上がりを安定させやすくします。,入数: 150本,,no_catalog_evidence | no_catalog_page|printed_pages_normalized
0748-07,セルピタ ロック(10ペア),カタログP.79,セルピタ ロック(10ペア) / ズレ落ち防止・フィット感調整 / 貼るだけでズレを抑え、目立ちにくく交換もしやすい / メガネの先セルや鼻当て部分に貼って、ズレ落ちを防ぎやすくする補助パーツです。透明で目立ちにくく、サイズが合えば鼻当てにも使えるため、簡単なフィット感改善提案に向いています。 / 特殊透明シリコン製 プラスチックフレーム用鼻盛り材 No.257-1 1箱12ペア入 No.257-3 （シリコンシール） No.0748-07 セルピタロック メガネの先セルに貼るだけでずれ落ちを防止します。 （細いフレームには適当なサイズにカットすることも可能です。） No.257-2 10 ペア入 240N1495 2 ペア入販売用もあります。 No.... / 入数: 10ペア / シリコン製 プラスチックフレーム用鼻盛り材 No.257-1 1箱12ペア入 No.257-3 （シリコンシール） No.0748-07 セルピタロック メガネの先セル / サイズにカットすることも可能です / ペア入 240N1495 2 ペア入販売用もあります / サイズ：長さ17×7㎜ 厚み 0.7㎜ 目立ちにくく、付け替えも簡単です,ズレ落ち防止・フィット感調整,貼るだけでズレを抑え、目立ちにくく交換もしやすい / メガネの先セルや鼻当て部分に貼って、ズレ落ちを防ぎやすくする補助パーツです。透明で目立ちにくく、サイズが合えば鼻当てにも使えるため、簡単なフィット感改善提案に向いています。 / 特殊透明シリコン製 プラスチックフレーム用鼻盛り材 No.257-1 1箱12ペア入 No.257-3 （シリコンシール） No.0748-07 セルピタロック メガネの先セルに貼るだけでずれ落ちを防止します。 （細いフレームには適当なサイズにカットすることも可能です。） No.257-2 10 ペア入 240N1495 2 ペア入販売用もあります。 No....,入数: 10ペア / シリコン製 プラスチックフレーム用鼻盛り材 No.257-1 1箱12ペア入 No.257-3 （シリコンシール） No.0748-07 セルピタロック メガネの先セル / サイズにカットすることも可能です / ペア入 240N1495 2 ペア入販売用もあります / サイズ：長さ17×7㎜ 厚み 0.7㎜ 目立ちにくく、付け替えも簡単です,カタログ参照=カタログP.79 ; PDF抽出メモ=特殊透明シリコン製 プラスチックフレーム用鼻盛り材 No.257-1 1箱12ペア入 No.257-3 （シリコンシール） No.0748-07 セルピタロック メガネの先セルに貼るだけでずれ落ちを防止します。 （細いフレームには適当なサイズにカットすることも可能です。） No.257-2 10 ペア入 240N1495 2 ペア入販売用もあります。 No.R0748-07 P89 参照。 サイズ：長さ17×7㎜ 厚み 0.7㎜ 目立ちにくく、付け替えも簡単です。 サイズが合えば、鼻当てにも使用できます。 販売用... ; 画像=0748-07_1.jpg,printed_pages_normalized
0756-01,シリコンモダン(ブラック)10本入り,,シリコンモダン(ブラック)10本入り / モダン交換 / 古くなった先セルを交換し、掛け心地や見た目を整えやすい / モダン交換に使う商品です。傷み・汚れ・割れが出た先セルを交換し、耳まわりの掛け心地と見た目を整えやすくします。 / 入数: 10本,モダン交換,古くなった先セルを交換し、掛け心地や見た目を整えやすい / モダン交換に使う商品です。傷み・汚れ・割れが出た先セルを交換し、耳まわりの掛け心地と見た目を整えやすくします。,入数: 10本,画像=0756-01_1.jpg,no_catalog_evidence | no_catalog_page|printed_pages_normalized
0756-16,シリコンモダン(ブラウン)10本入り,,シリコンモダン(ブラウン)10本入り / モダン交換 / 古くなった先セルを交換し、掛け心地や見た目を整えやすい / モダン交換に使う商品です。傷み・汚れ・割れが出た先セルを交換し、耳まわりの掛け心地と見た目を整えやすくします。 / 入数: 10本,モダン交換,古くなった先セルを交換し、掛け心地や見た目を整えやすい / モダン交換に使う商品です。傷み・汚れ・割れが出た先セルを交換し、耳まわりの掛け心地と見た目を整えやすくします。,入数: 10本,画像=0756-16_1.jpg,no_catalog_evidence | no_catalog_page|printed_pages_normalized
0756-27,シリコンモダン(透明)10本入り,,シリコンモダン(透明)10本入り / モダン交換 / 古くなった先セルを交換し、掛け心地や見た目を整えやすい / モダン交換に使う商品です。傷み・汚れ・割れが出た先セルを交換し、耳まわりの掛け心地と見た目を整えやすくします。 / 入数: 10本,モダン交換,古くなった先セルを交換し、掛け心地や見た目を整えやすい / モダン交換に使う商品です。傷み・汚れ・割れが出た先セルを交換し、耳まわりの掛け心地と見た目を整えやすくします。,入数: 10本,画像=0756-27_1.jpg,no_catalog_evidence | no_catalog_page|printed_pages_normalized
0786-03,シュリンクチューブ,カタログP.77,シュリンクチューブ / 保護・補修・滑り止め加工 / 熱で収縮して部品に密着し、保護や補修に使いやすい / 熱で収縮させてテンプルや小部品に密着させるチューブです。フレームの保護・補修・滑り止め加工に使いやすく、必要な長さにカットして調整できます。 / ※写真はおおよそ原寸サイズです 販売用 眼鏡グッズ （耳用） 品 番 No.0786-03 No.0786-05 No.0786-08 04 05 08 No.0786-10 φ内径 1.5㎜ 3.0㎜ 5.0㎜ 7.0㎜ φ収縮後 長 さ / 入数: 1m×3本 / サイズです 販売用 眼鏡グッズ （耳用） 品 番 No.0786-03 No.0786-05 No.0786-08 04 05 08 No.0786-10 φ内径 1 / φ収縮後 長 さ,保護・補修・滑り止め加工,熱で収縮して部品に密着し、保護や補修に使いやすい / 熱で収縮させてテンプルや小部品に密着させるチューブです。フレームの保護・補修・滑り止め加工に使いやすく、必要な長さにカットして調整できます。 / ※写真はおおよそ原寸サイズです 販売用 眼鏡グッズ （耳用） 品 番 No.0786-03 No.0786-05 No.0786-08 04 05 08 No.0786-10 φ内径 1.5㎜ 3.0㎜ 5.0㎜ 7.0㎜ φ収縮後 長 さ,入数: 1m×3本 / サイズです 販売用 眼鏡グッズ （耳用） 品 番 No.0786-03 No.0786-05 No.0786-08 04 05 08 No.0786-10 φ内径 1 / φ収縮後 長 さ,カタログ参照=カタログP.77 ; PDF抽出メモ=※写真はおおよそ原寸サイズです 販売用 眼鏡グッズ （耳用） 品 番 No.0786-03 No.0786-05 No.0786-08 04 05 08 No.0786-10 φ内径 1.5㎜ 3.0㎜ 5.0㎜ 7.0㎜ φ収縮後 長 さ ; 画像=0786-03_1.jpg,printed_pages_normalized
0786-05,シュリンクチューブ,カタログP.77,シュリンクチューブ / 保護・補修・滑り止め加工 / 熱で収縮して部品に密着し、保護や補修に使いやすい / 熱で収縮させてテンプルや小部品に密着させるチューブです。フレームの保護・補修・滑り止め加工に使いやすく、必要な長さにカットして調整できます。 / 販売用 眼鏡グッズ （耳用） 品 番 No.0786-03 No.0786-05 No.0786-08 04 05 08 No.0786-10 φ内径 1.5㎜ 3.0㎜ 5.0㎜ 7.0㎜ φ収縮後 長 さ 内径 / 入数: 1m×3本 / φ内径 1.5㎜ 3.0㎜ 5.0㎜ 7.0㎜ φ収縮後 長 さ 内径,保護・補修・滑り止め加工,熱で収縮して部品に密着し、保護や補修に使いやすい / 熱で収縮させてテンプルや小部品に密着させるチューブです。フレームの保護・補修・滑り止め加工に使いやすく、必要な長さにカットして調整できます。 / 販売用 眼鏡グッズ （耳用） 品 番 No.0786-03 No.0786-05 No.0786-08 04 05 08 No.0786-10 φ内径 1.5㎜ 3.0㎜ 5.0㎜ 7.0㎜ φ収縮後 長 さ 内径,入数: 1m×3本 / φ内径 1.5㎜ 3.0㎜ 5.0㎜ 7.0㎜ φ収縮後 長 さ 内径,カタログ参照=カタログP.77 ; PDF抽出メモ=販売用 眼鏡グッズ （耳用） 品 番 No.0786-03 No.0786-05 No.0786-08 04 05 08 No.0786-10 φ内径 1.5㎜ 3.0㎜ 5.0㎜ 7.0㎜ φ収縮後 長 さ 内径 ; 画像=0786-05_1.jpg,printed_pages_normalized
0786-08,シュリンクチューブ,カタログP.77,シュリンクチューブ / 保護・補修・滑り止め加工 / 熱で収縮して部品に密着し、保護や補修に使いやすい / 熱で収縮させてテンプルや小部品に密着させるチューブです。フレームの保護・補修・滑り止め加工に使いやすく、必要な長さにカットして調整できます。 / 販売用 眼鏡グッズ （耳用） 品 番 No.0786-03 No.0786-05 No.0786-08 04 05 08 No.0786-10 φ内径 1.5㎜ 3.0㎜ 5.0㎜ 7.0㎜ φ収縮後 長 さ 内径 0.75㎜ １m×３本 / 入数: 1m×3本 / φ内径 1.5㎜ 3.0㎜ 5.0㎜ 7.0㎜ φ収縮後 長 さ 内径 0.75㎜ １m×３本,保護・補修・滑り止め加工,熱で収縮して部品に密着し、保護や補修に使いやすい / 熱で収縮させてテンプルや小部品に密着させるチューブです。フレームの保護・補修・滑り止め加工に使いやすく、必要な長さにカットして調整できます。 / 販売用 眼鏡グッズ （耳用） 品 番 No.0786-03 No.0786-05 No.0786-08 04 05 08 No.0786-10 φ内径 1.5㎜ 3.0㎜ 5.0㎜ 7.0㎜ φ収縮後 長 さ 内径 0.75㎜ １m×３本,入数: 1m×3本 / φ内径 1.5㎜ 3.0㎜ 5.0㎜ 7.0㎜ φ収縮後 長 さ 内径 0.75㎜ １m×３本,カタログ参照=カタログP.77 ; PDF抽出メモ=販売用 眼鏡グッズ （耳用） 品 番 No.0786-03 No.0786-05 No.0786-08 04 05 08 No.0786-10 φ内径 1.5㎜ 3.0㎜ 5.0㎜ 7.0㎜ φ収縮後 長 さ 内径 0.75㎜ １m×３本 ; 画像=0786-08_1.jpg,printed_pages_normalized
